Provinsi,Cluster
ACEH,0
BALI,0
BANTEN,0
BENGKULU,0
D I YOGYAKARTA,0
DKI JAKARTA,0
GORONTALO,0
JAMBI,0
KALIMANTAN UTARA,0
KALIMANTAN TIMUR,0
KALIMANTAN TENGAH,0
KALIMANTAN SELATAN,0
MALUKU,0
LAMPUNG,0
KEPULAUAN RIAU,0
KEP BANGKA BELITUNG,0
SULAWESI UTARA,0
SULAWESI TENGGARA,0
SULAWESI BARAT,0
SULAWESI TENGAH,0
MALUKU UTARA,0
NUSA TENGGARA BARAT,0
RIAU,0
PAPUA BARAT,0
SUMATERA BARAT,0
SUMATERA SELATAN,0
PAPUA,1
NUSA TENGGARA TIMUR,1
SULAWESI SELATAN,1
KALIMANTAN BARAT,1
SUMATERA UTARA,1
JAWA TENGAH,2
JAWA BARAT,2
JAWA TIMUR,2
