Provinsi,Pengeluaran_per_Kapita,Komputer_SD_Negeri,Komputer_SD_Swasta,Sumber_Listrik_PLN,Akses_Internet_Sekolah_Tersedia,Akses_Internet_Sekolah_Tidak_tersedia,2G,3G,4G,5G,Cluster,Provinsi_Map,PC1,PC2
ACEH,11191,303,31,9973,2965,564,3507,84,10030,2,0,ACEH,-0.1727312611916462,0.23705386622599908
BALI,15383,79,97,999,2360,56,4245,0,11496,40,0,BALI,0.050662134800646956,-0.8111461608460295
BANTEN,13498,361,444,9979,4434,200,7104,1,23528,43,0,BANTEN,0.25461006178819084,0.09912218188434223
BENGKULU,12197,99,23,9975,1086,312,1042,25,3455,0,0,BENGKULU,-0.3356010053017406,0.11204007252554418
D I YOGYAKARTA,15855,625,213,100,1832,16,2232,38,7035,2,0,D I YOGYAKARTA,0.03652869241676882,-0.8453863408736975
DKI JAKARTA,20676,377,641,9997,2228,11,8409,0,29889,115,0,DKI JAKARTA,0.540177322016688,-0.0671255924921055
GORONTALO,11937,73,3,9899,760,168,849,35,2030,0,0,GORONTALO,-0.3701557784100353,0.0895877244127814
JAMBI,12018,136,33,989,2131,332,2194,34,6983,0,0,JAMBI,-0.13674578777385657,-0.6847774153916898
JAWA BARAT,12447,882,1189,999,18712,947,24333,0,79774,40,2,JAWA BARAT,1.7141476154474624,-0.4115598152198293
JAWA TENGAH,12746,2138,599,9994,18400,360,14826,197,42751,26,2,JAWA TENGAH,1.1363899794649837,0.4872506298683118
JAWA TIMUR,13509,2685,949,9971,18383,624,17589,3,50461,34,2,JAWA TIMUR,1.4403024593698572,0.40044574671935873
KALIMANTAN BARAT,10689,102,81,9295,2721,1717,3453,60,9832,0,1,KALIMANTAN BARAT,-0.1637689408464495,0.33435792975583994
KALIMANTAN SELATAN,13757,95,29,9889,2568,347,2992,1,9195,0,0,KALIMANTAN SELATAN,-0.21334937089225858,0.08399464178623789
KALIMANTAN TENGAH,12612,174,59,8904,1837,811,2158,34,6740,0,0,KALIMANTAN TENGAH,-0.22376359103088372,0.10430844457551866
KALIMANTAN TIMUR,14254,95,102,965,1663,256,3189,50,10036,12,0,KALIMANTAN TIMUR,-0.04772104903651695,-0.7246728817799892
KALIMANTAN UTARA,10568,40,12,9618,327,158,575,65,1769,1,0,KALIMANTAN UTARA,-0.39460821984047734,0.09949238421580471
KEP BANGKA BELITUNG,13837,46,25,9966,777,55,1425,0,3656,0,0,KEP BANGKA BELITUNG,-0.3331501573185562,0.025059569197208427
KEPULAUAN RIAU,15881,125,171,9839,907,66,1887,5,5430,19,0,KEPULAUAN RIAU,-0.18526134358618715,-0.009138924985747518
LAMPUNG,11683,263,108,9921,4128,604,4267,31,13273,3,0,LAMPUNG,-0.08302941937698201,0.20091953573592286
MALUKU,9900,44,26,9537,1057,755,921,2,2591,0,0,MALUKU,-0.3588080001983535,0.15323373204766969
MALUKU UTARA,9613,86,10,9427,792,523,622,0,1790,0,0,MALUKU UTARA,-0.3831286395706635,0.10864851104018107
NUSA TENGGARA BARAT,11922,126,17,9989,3024,285,4134,1,8424,3,0,NUSA TENGGARA BARAT,-0.20111012684226973,0.1145026137327881
NUSA TENGGARA TIMUR,8735,160,120,9101,3967,1236,2545,247,6530,3,1,NUSA TENGGARA TIMUR,-0.14596225833550883,0.42112714410381563
PAPUA,11342,32,47,9024,1074,1568,999,2,5646,1,1,PAPUA,-0.2921848854539996,0.2124424357653354
PAPUA BARAT,9115,11,13,8231,639,465,590,1,2530,0,0,PAPUA BARAT,-0.38236135679544536,-0.005907863024647251
RIAU,12233,184,152,966,3432,359,5164,1,14738,3,0,RIAU,0.049141609744950375,-0.6920145164015705
SULAWESI BARAT,10516,63,1,9499,766,560,734,30,1884,0,0,SULAWESI BARAT,-0.3756376865720263,0.1297528543695003
SULAWESI SELATAN,12773,361,118,9823,5233,1205,6303,32,17910,29,1,SULAWESI SELATAN,0.10119846363754835,0.27711557736779746
SULAWESI TENGAH,10934,126,12,966,2055,871,2051,28,5679,5,0,SULAWESI TENGAH,-0.14678559828247428,-0.5960549817924425
SULAWESI TENGGARA,10992,158,11,9783,1720,625,1562,104,4368,0,0,SULAWESI TENGGARA,-0.29669734877299747,0.2282309607815682
SULAWESI UTARA,12450,45,45,9967,1558,645,2157,58,5706,5,0,SULAWESI UTARA,-0.2664542031084779,0.1863531607586621
SUMATERA BARAT,12041,179,70,9895,3644,616,3781,28,9955,4,0,SUMATERA BARAT,-0.14116713178780158,0.18336486986601894
SUMATERA SELATAN,12416,261,146,9702,4239,457,5070,3,14777,5,0,SUMATERA SELATAN,-0.03508104773657249,0.12857043068266327
SUMATERA UTARA,11898,221,475,9923,7916,1866,9433,26,26702,11,1,SUMATERA UTARA,0.3621058693750832,0.4308094753888785
